sample	binmethod	binname	pipeline_y	group	tRNA_x	rna.16S_x	rna.23S_x	rna.5S_x	Completeness	Contamination	quality	user_genome	classification	fastani_reference	Bin	tRNA_y	Sample	rna.16S_y	rna.23S_y	rna.5S_y	pipeline
sample0_mNGS_metaSPAdes	Metabat2	bin.12	mNGS_metaSPAdes	mNGS	15.0	0	0	0	77.39	5.26	medium-quality	sample0_mNGS_metaSPAdes+bin.12	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.14	mNGS_metaSPAdes	mNGS	22.0	0	0	2	89.39	2.67	medium-quality	sample0_mNGS_metaSPAdes+bin.14	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani	GCF_900167265.1	GCF_900167265.1	34	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	1	5	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.16	mNGS_metaSPAdes	mNGS	45.0	0	0	7	99.68	0.0	complete	sample0_mNGS_metaSPAdes+bin.16	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	GCF_001457655.1	GCF_001457655.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	6	6	7	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.17	mNGS_metaSPAdes	mNGS	41.0	0	0	5	95.16	0.0	complete	sample0_mNGS_metaSPAdes+bin.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	GCF_006742065.1	GCF_006742065.1	82	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	12	12	12	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.2	mNGS_metaSPAdes	mNGS	38.0	0	0	0	94.01	1.23	complete	sample0_mNGS_metaSPAdes+bin.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	GCF_001025135.1	GCF_001025135.1	54	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	2	2	0	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.20	mNGS_metaSPAdes	mNGS	27.0	0	0	5	53.79	3.45	medium-quality	sample0_mNGS_metaSPAdes+bin.20	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium botulinum_A	GCF_000827935.1	GCF_000827935.1	79	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	11	11	12	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.21	mNGS_metaSPAdes	mNGS	40.0	0	0	0	78.63	0.0	medium-quality	sample0_mNGS_metaSPAdes+bin.21	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809;s__DNF00809 sp000814825	GCF_000814825.1	GCF_000814825.1	50	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	2	2	2	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.24	mNGS_metaSPAdes	mNGS	28.0	0	0	2	92.54	0.0	complete	sample0_mNGS_metaSPAdes+bin.24	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Taylorella;s__Taylorella equigenitalis	GCF_000276685.1	GCF_000276685.1	38	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	3	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.27	mNGS_metaSPAdes	mNGS	41.0	0	0	1	80.7	0.0	medium-quality	sample0_mNGS_metaSPAdes+bin.27	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F botulinum	GCF_001276985.1	GCF_001276985.1	78	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	1	9	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.29	mNGS_metaSPAdes	mNGS	20.0	0	0	2	65.38	0.96	medium-quality	sample0_mNGS_metaSPAdes+bin.29	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	GCF_000265365.1	GCF_000265365.1	51	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	2	2	2	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.31	mNGS_metaSPAdes	mNGS	22.0	0	0	0	96.17	0.0	complete	sample0_mNGS_metaSPAdes+bin.31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__Petrimonas mucosa	GCF_900095795.1	GCF_900095795.1	49	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	2	2	2	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.32	mNGS_metaSPAdes	mNGS	44.0	0	0	3	97.47	0.08	complete	sample0_mNGS_metaSPAdes+bin.32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	GCF_000011065.1	GCF_000011065.1	70	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	5	5	5	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.36	mNGS_metaSPAdes	mNGS	29.0	0	0	3	95.92	0.89	complete	sample0_mNGS_metaSPAdes+bin.36	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium dichloroeliminans	GCF_000243135.2	GCF_000243135.2	73	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	6	6	6	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.37	mNGS_metaSPAdes	mNGS	30.0	0	0	0	93.73	0.0	complete	sample0_mNGS_metaSPAdes+bin.37	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Savagellaceae;g__Savagella;s__Savagella sp000270205	GCF_000270205.1	GCF_000270205.1	40	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	6	6	6	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.42	mNGS_metaSPAdes	mNGS	31.0	0	0	0	92.47	0.0	complete	sample0_mNGS_metaSPAdes+bin.42	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_B;s__Haemophilus_B ducreyi	GCF_900109315.1	GCF_900109315.1	37	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	1	6	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.45	mNGS_metaSPAdes	mNGS	12.0	0	0	0	54.39	0.0	medium-quality	sample0_mNGS_metaSPAdes+bin.45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	GCF_000225345.1	GCF_000225345.1	58	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	4	4	4	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.5	mNGS_metaSPAdes	mNGS	39.0	0	0	2	74.16	0.0	medium-quality	sample0_mNGS_metaSPAdes+bin.5	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Nitratidesulfovibrio;s__Nitratidesulfovibrio vulgaris	GCF_000195755.1	GCF_000195755.1	68	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	5	5	6	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.51	mNGS_metaSPAdes	mNGS	18.0	0	0	0	71.43	0.3	medium-quality	sample0_mNGS_metaSPAdes+bin.51	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfocurvibacter;s__Desulfocurvibacter africanus	GCF_000422545.1	GCF_000422545.1	49	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	0	1	2	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.6	mNGS_metaSPAdes	mNGS	39.0	0	0	0	99.77	0.0	complete	sample0_mNGS_metaSPAdes+bin.6	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita akajimensis	GCF_000025905.1	GCF_000025905.1	47	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	2	2	2	mNGS_metaSPAdes
sample0_mNGS_metaSPAdes	Metabat2	bin.7	mNGS_metaSPAdes	mNGS	18.0	0	0	1	73.7	0.16	medium-quality	sample0_mNGS_metaSPAdes+bin.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter ruhlandii	GCF_002082135.1	GCF_002082135.1	72	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	4	mNGS_metaSPAdes
sample0_Nanopore_metaflye	Metabat2	bin.1	Nanopore_metaflye	Nanopore	48.0	4	4	4	98.38	0.0	complete	sample0_Nanopore_metaflye+bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio hungatei	GCF_900143205.1	GCF_900143205.1	43	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	0	0	Nanopore_metaflye
sample0_Nanopore_metaflye	Metabat2	bin.11	Nanopore_metaflye	Nanopore	38.0	3	3	3	100.0	0.0	complete	sample0_Nanopore_metaflye+bin.11	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Taylorella;s__Taylorella equigenitalis	GCF_000276685.1	GCF_000276685.1	38	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	3	Nanopore_metaflye
sample0_Nanopore_metaflye	Metabat2	bin.12	Nanopore_metaflye	Nanopore	47.0	2	2	2	99.77	0.0	complete	sample0_Nanopore_metaflye+bin.12	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita akajimensis	GCF_000025905.1	GCF_000025905.1	47	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	2	2	2	Nanopore_metaflye
sample0_Nanopore_metaflye	Metabat2	bin.16	Nanopore_metaflye	Nanopore	49.0	6	6	7	99.43	0.02	complete	sample0_Nanopore_metaflye+bin.16	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_B;s__Haemophilus_B ducreyi	GCF_900109315.1	GCF_900109315.1	37	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	1	6	Nanopore_metaflye
sample0_Nanopore_metaflye	Metabat2	bin.17	Nanopore_metaflye	Nanopore	47.0	3	3	4	78.7	0.0	medium-quality	sample0_Nanopore_metaflye+bin.17	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Nitratidesulfovibrio;s__Nitratidesulfovibrio vulgaris	GCF_000195755.1	GCF_000195755.1	68	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	5	5	6	Nanopore_metaflye
sample0_Nanopore_metaflye	Metabat2	bin.18	Nanopore_metaflye	Nanopore	54.0	3	3	3	95.45	0.0	complete	sample0_Nanopore_metaflye+bin.18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella_C;s__Bordetella_C flabilis	GCF_001676725.1	GCF_001676725.1	54	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	3	Nanopore_metaflye
