sample	binmethod	binname	pipeline_y	group	tRNA_x	rna.16S_x	rna.23S_x	rna.5S_x	Completeness	Contamination	quality	user_genome	classification	fastani_reference	Bin	tRNA_y	Sample	rna.16S_y	rna.23S_y	rna.5S_y	pipeline	tRNA_compare	rna.16S_compare	rna.5S_compare	rna.23S_compare	accession	checkm_completeness	checkm_contamination	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	ncbi_assembly_level	ncbi_date	ncbi_rrna_count	ncbi_trna_count
sample0_mNGS_metaSPAdes	MetaBAT2	bin.12	mNGS_metaSPAdes	mNGS	15.0	0	0	0	77.39	5.26	medium-quality	sample0_mNGS_metaSPAdes+bin.12	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	RS_GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	mNGS_metaSPAdes	0.2542372881355932	0.0	1.0	0.0	RS_GCF_001042635.1	100.0	2.15	RS_GCF_001042635.1	t	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	Complete Genome	2015-2-17	9	56
sample0_Nanopore_OPERA-MS	MetaBAT2	bin.6	Nanopore_OPERA-MS	mNGS+Nanopore	19.0	1	1	1	33.14	0.0	low-quality	sample0_Nanopore_OPERA-MS+bin.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	RS_GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	Nanopore_OPERA-MS	0.3220338983050847	0.3333333333333333	1.0	0.3333333333333333	RS_GCF_001042635.1	100.0	2.15	RS_GCF_001042635.1	t	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	Complete Genome	2015-2-17	9	56
sample0_PacBio_OPERA-MS	MetaBAT2	bin.13	PacBio_OPERA-MS	mNGS+PacBio	46.0	2	2	0	81.09	2.15	medium-quality	sample0_PacBio_OPERA-MS+bin.13	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	RS_GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	PacBio_OPERA-MS	0.7796610169491526	0.6666666666666666	1.0	0.6666666666666666	RS_GCF_001042635.1	100.0	2.15	RS_GCF_001042635.1	t	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	Complete Genome	2015-2-17	9	56
sample0_mNGS_metaSPAdes	bin3C	bin018	mNGS_metaSPAdes	mNGS	31.0	1	1	0	94.11	8.03	medium-quality	sample0_mNGS_metaSPAdes+bin018	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	RS_GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	mNGS_metaSPAdes	0.5254237288135594	0.3333333333333333	1.0	0.3333333333333333	RS_GCF_001042635.1	100.0	2.15	RS_GCF_001042635.1	t	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	Complete Genome	2015-2-17	9	56
sample0_Nanopore_metaflye	bin3C	bin19	Nanopore_metaflye	Nanopore	59.0	3	3	0	100.0	3.32	complete	sample0_Nanopore_metaflye+bin19	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	RS_GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	Nanopore_metaflye	1.0	1.0	1.0	1.0	RS_GCF_001042635.1	100.0	2.15	RS_GCF_001042635.1	t	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	Complete Genome	2015-2-17	9	56
sample0_Nanopore_OPERA-MS	bin3C	bin23	Nanopore_OPERA-MS	mNGS+Nanopore	60.0	3	3	0	98.68	2.15	complete	sample0_Nanopore_OPERA-MS+bin23	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	RS_GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	Nanopore_OPERA-MS	1.0169491525423728	1.0	1.0	1.0	RS_GCF_001042635.1	100.0	2.15	RS_GCF_001042635.1	t	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	Complete Genome	2015-2-17	9	56
sample0_PacBio_OPERA-MS	bin3C	bin022	PacBio_OPERA-MS	mNGS+PacBio	59.0	3	3	0	98.83	2.15	complete	sample0_PacBio_OPERA-MS+bin022	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	RS_GCF_001042635.1	GCF_001042635.1	59	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	3	3	0	PacBio_OPERA-MS	1.0	1.0	1.0	1.0	RS_GCF_001042635.1	100.0	2.15	RS_GCF_001042635.1	t	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	Complete Genome	2015-2-17	9	56
sample0_mNGS_metaSPAdes	MetaBAT2	bin.14	mNGS_metaSPAdes	mNGS	22.0	0	0	2	89.39	2.67	medium-quality	sample0_mNGS_metaSPAdes+bin.14	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani	RS_GCF_900167265.1	GCF_900167265.1	34	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	1	5	mNGS_metaSPAdes	0.6470588235294118	0.0	0.4	0.0	RS_GCF_900167265.1	98.62	0.1	RS_GCF_900167265.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani	Scaffold	2017-3-4	17	40
sample0_Nanopore_metaflye	MetaBAT2	bin.22	Nanopore_metaflye	Nanopore	50.0	3	5	4	96.45	0.06	complete	sample0_Nanopore_metaflye+bin.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani	RS_GCF_900167265.1	GCF_900167265.1	34	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	1	5	Nanopore_metaflye	1.4705882352941178	3.0	0.8	5.0	RS_GCF_900167265.1	98.62	0.1	RS_GCF_900167265.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani	Scaffold	2017-3-4	17	40
sample0_Nanopore_OPERA-MS	MetaBAT2	bin.56	Nanopore_OPERA-MS	mNGS+Nanopore	27.0	1	1	1	80.0	0.06	medium-quality	sample0_Nanopore_OPERA-MS+bin.56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani	RS_GCF_900167265.1	GCF_900167265.1	34	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/CAMISIM/merge/04GTDB_tk+RNA	1	1	5	Nanopore_OPERA-MS	0.7941176470588235	1.0	0.2	1.0	RS_GCF_900167265.1	98.62	0.1	RS_GCF_900167265.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G tetani	Scaffold	2017-3-4	17	40
