	subject	seqmethod	assembler	pipeline_x	group_x	Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage	quality	binmethod	sample	binname	pipeline_y	bin	group_y	16S_RNA	23S_RNA	5S_RNA	16S_RNA_avglen	23S_RNA_avglen	5S_RNA_avglen	suffix
0	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.12	1901	147	88	3	0	0	0	0	0	0	2337697	1928483	185314	0	0	0	0	0	0	147	64826	2337697	21522	12898	37	73	0.0	f__Bifidobacteriaceae (UID1462)	65	476	217	125	337	12	2	0	0	77.39	5.26	50.0	15.0	0	0	0	Bifidobacterium_scardovii	100.0	2.34	Bifidobacterium_scardovii	38.4056830290666	medium-quality	Metabat2	sample0_mNGS_metaSPAdes	bin.12	mNGS_metaSPAdes	bin.12.fa	mNGS	0	0	0				
1	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.14	2981	216	109	6	0	0	0	0	0	0	3015405	2406388	356918	0	0	0	0	0	0	216	70793	3015405	19535	10944	45	96	0.0	g__Clostridium (UID1380)	44	404	145	77	316	11	0	0	0	89.39	2.67	27.27	22.0	0	0	2	Clostridium_tetani	87.093	3.02	Clostridium_tetani	33.7733239813557	medium-quality	Metabat2	sample0_mNGS_metaSPAdes	bin.14	mNGS_metaSPAdes	bin.14.fa	mNGS	0	0	1	0.0	0.0	112.0	
2	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.16	1749	22	20	14	7	0	0	0	0	0	1812811	1797745	1657343	1143748	0	0	0	0	0	22	218923	1812811	142618	78983	6	10	0.0	f__Pasteurellaceae (UID4932)	83	767	440	6	761	0	0	0	0	99.68	0.0	0.0	45.0	0	0	7	Haemophilus_influenzae	100.0	1.81	Haemophilus_influenzae	33.5709017652695	complete	Metabat2	sample0_mNGS_metaSPAdes	bin.16	mNGS_metaSPAdes	bin.16.fa	mNGS	0	0	2	0.0	0.0	109.0	
3	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.17	3848	57	53	26	10	4	0	0	0	0	4287047	4260598	3454244	2326420	1348848	0	0	0	0	57	408009	4287047	120564	59619	9	22	0.0	o__Clostridiales (UID1375)	50	332	124	15	317	0	0	0	0	95.16	0.0	0.0	41.0	0	0	5	Clostridium_butyricum	100.0	4.29	Clostridium_butyricum	553.675175476266	complete	Metabat2	sample0_mNGS_metaSPAdes	bin.17	mNGS_metaSPAdes	bin.17.fa	mNGS	0	0	3	0.0	0.0	111.0	
4	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.2	1674	42	40	16	6	0	0	0	0	0	2000898	1988773	1419387	752768	0	0	0	0	0	42	150646	2000898	85742	45826	9	18	0.0	f__Bifidobacteriaceae (UID1462)	65	476	217	24	445	7	0	0	0	94.01	1.23	85.71	38.0	0	0	0	Bifidobacterium_bifidum	100.0	2.0	Bifidobacterium_bifidum	63.1313290332641	complete	Metabat2	sample0_mNGS_metaSPAdes	bin.2	mNGS_metaSPAdes	bin.2.fa	mNGS	0	0	0				
5	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.20	2944	256	119	6	0	0	0	0	0	0	3292869	2514526	375661	0	0	0	0	0	0	256	88206	3292869	20191	10337	53	115	0.0	k__Bacteria (UID203)	5449	104	58	67	35	2	0	0	0	53.79	3.45	0.0	27.0	0	0	5	Clostridium_botulinum	88.03	3.29	Clostridium_botulinum	175.104430209644	medium-quality	Metabat2	sample0_mNGS_metaSPAdes	bin.20	mNGS_metaSPAdes	bin.20.fa	mNGS	0	0	2	0.0	0.0	110.5	
6	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.21	1275	13	13	10	5	1	0	0	0	0	1482796	1482796	1409075	992202	324431	0	0	0	0	13	324431	1482796	161117	86327	4	7	0.0	p__Actinobacteria (UID2112)	31	211	124	37	174	0	0	0	0	78.63	0.0	0.0	40.0	0	0	0	Berryella_intestinalis	100.0	1.48	Berryella_intestinalis	164.925283046353	medium-quality	Metabat2	sample0_mNGS_metaSPAdes	bin.21	mNGS_metaSPAdes	bin.21.fa	mNGS	0	0	0				
7	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.24	1365	11	11	9	7	2	0	0	0	0	1499913	1499913	1433481	1256180	547710	0	0	0	0	11	280403	1499913	144716	126368	4	6	0.0	c__Betaproteobacteria (UID3959)	235	406	201	55	351	0	0	0	0	92.54	0.0	0.0	28.0	0	0	2	Taylorella_equigenitalis	100.0	1.5	Taylorella_equigenitalis	34.673311052041	complete	Metabat2	sample0_mNGS_metaSPAdes	bin.24	mNGS_metaSPAdes	bin.24.fa	mNGS	0	0	1	0.0	0.0	105.0	
8	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.27	3328	42	38	14	8	4	2	0	0	0	3657694	3627325	3073427	2670945	2109070	1404053	0	0	0	42	846168	3657694	341059	77109	4	9	0.0	k__Bacteria (UID203)	5449	103	57	50	53	0	0	0	0	80.7	0.0	0.0	41.0	0	0	1	Clostridium_botulinum	100.0	3.66	Clostridium_botulinum	1030.56476293534	medium-quality	Metabat2	sample0_mNGS_metaSPAdes	bin.27	mNGS_metaSPAdes	bin.27.fa	mNGS	0	0	1	0.0	0.0	112.0	
9	sample0	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	sample0_mNGS_metaSPAdes	bin.29	1539	51	45	12	2	0	0	0	0	0	1909981	1861711	945570	259868	0	0	0	0	0	51	130257	1909981	49562	30703	13	25	0.0	p__Bacteroidetes (UID2605)	350	314	208	116	196	2	0	0	0	65.38	0.96	100.0	20.0	0	0	2	Alistipes_finegoldii	100.0	1.91	Alistipes_finegoldii	33.8403366316209	medium-quality	Metabat2	sample0_mNGS_metaSPAdes	bin.29	mNGS_metaSPAdes	bin.29.fa	mNGS	0	0	1	0.0	0.0	85.0	
