accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_000006155.2	1916	93.12	0	1171	g__Bacillus (UID902)	324	0	4305660	80.1789924135	426	1869446	35.1014036461	5370060	RS_GCF_000534935.2	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A anthracis	not type material	none	f	63	1	181677	5093554	none	0	none	none	none	0	none	none	none	none	none	none	none	none	12506	1790020	f	f	t	25045	5093554	Chromosome	ASM615v2	n/a	PRJNA299	SAMN02435829	426	25045	none	2002-05-09	GCA_000006155.2	none	full	none	none	none	3	2	Bacillus anthracis str. A2012	297	na	0	none	none	none	none	none	2002/05/09	423	1392	0	A2012	J. Craig Venter Institute	191218	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;x__Bacillus cereus group;s__Bacillus anthracis;x__Bacillus anthracis str. A2012	42300	5370060	11	0	none	5327760	0	AAAC00000000.1	5745	3	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	42300	16	31	0
GB_GCA_000007385.1	0	99.82	0	481	c__Gammaproteobacteria (UID4202)	276	0	4190634	84.8059441794	1	3147365	63.693288534	4941439	RS_GCF_004136375.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas oryzae	not type material	none	f	1	1	4941439	4941439	4941439	2	2878	AE013598.1	4941439	2	106	AE013598.1	2878	5315	0	100	JXGN01000061.514.3412	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas oryzae pv. oryzae	4941439	4941439	t	f	f	4941439	4941439	Complete Genome	ASM738v1	n/a	PRJNA12931	SAMN02603680	none	none	none	2005-2-2	GCA_000007385.1	none	full	none	none	none	1	0	Xanthomonas oryzae pv. oryzae KACC 10331	4538	na	6	none	none	none	none	none	2005/02/02	0	347	2	KACC10331	NIAB, Rural Development Administration	291331	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas oryzae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas oryzae;x__Xanthomonas oryzae pv. oryzae;x__Xanthomonas oryzae pv. oryzae KACC 10331	0	4941439	11	50	none	4941439	0	none	4831	1	4941439	2	1541	2830	0	99.805	1914346	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__campestris	1542	AE013598.1	1541	2846	0	100	JXEG01000201.4293.5839	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas oryzae pv. oryzae	0	20	53	0
GB_GCA_000008605.1	67	100	0	235	f__Spirochaetaceae (UID2512)	124	0	1048744	92.1558754704	1	600552	52.775180501	1138011	RS_GCF_000410535.2	f	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema;s__Treponema pallidum	not type material	none	f	1	1	1138011	1138011	1138011	2	2948	AE000520.1	1138011	2	103	AE000520.1	2948	5445	0	100	CP010558.281509.284467	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;Treponema pallidum subsp. pallidum (syphilis treponeme)	1138011	1138011	t	f	f	1138011	1138011	Complete Genome	ASM860v1	n/a	PRJNA5	SAMN02604348	none	none	none	1999-12-22	GCA_000008605.1	none	full	none	none	none	1	0	Treponema pallidum subsp. pallidum str. Nichols	1031	na	6	none	none	none	none	none	1999/12/22	0	160	2	Nichols	US DOE Joint Genome Institute (JGI-PGF)	243276	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema pallidum	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema pallidum;sb__Treponema pallidum subsp. pallidum;x__Treponema pallidum subsp. pallidum str. Nichols	0	1138011	11	45	none	1138011	0	none	1009	1	1138011	2	1545	2837	0	99.806	2707164	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__	1545	AE000520.1	1545	2854	0	100	CP003679.231299.232859	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema 2;Treponema pallidum subsp. pallidum str. Sea 81-4	0	20	45	0
GB_GCA_000010565.1	0	100	0.63	295	p__Firmicutes (UID1022)	158	0	2608397	86.2173119035	1	1602272	52.9611039954	3025375	GB_GCA_000010565.1	t	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__Pelotomaculum;s__Pelotomaculum thermopropionicum	type strain of species	LPSN; DSMZ; StrainInfo	t	1	1	3025375	3025375	3025375	2	3480	AP009389.1	3025375	2	111	AP009389.1	3479	6425	0	100	AP009389.1050854.1054336	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;Pelotomaculum thermopropionicum SI	3025375	3025375	t	f	f	3025375	3025375	Complete Genome	ASM1056v1	n/a	PRJDA19023	SAMD00060921	none	none	none	2007-5-7	GCA_000010565.1	none	full	none	none	none	1	0	Pelotomaculum thermopropionicum SI	2920	na	6	none	none	none	none	none	2007/05/07	0	110500	2	SI	Marine Biotechnology Institute Co., Ltd	370438	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Pelotomaculum;s__Pelotomaculum thermopropionicum	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Pelotomaculum;s__Pelotomaculum thermopropionicum;x__Pelotomaculum thermopropionicum SI	0	3025375	11	51	assembly from type material	3025375	0	none	3001	1	3025375	2	1596	2948	0	100	3016147	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Pelotomaculum;s__	1596	AP009389.1	1526	2819	0	100	AP009389.1049070.1050595	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;Pelotomaculum thermopropionicum SI	0	20	51	1
GB_GCA_000013845.2	0	100	0	332	o__Clostridiales (UID1375)	124	0	2428396	82.0379664388	4	835660	28.2309174592	2960088	RS_GCF_000013285.1	f	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P perfringens	not type material	none	f	1	1	2897393	2897393	2897393	10	2900	CP000312.1-#9	2897393	9	296	CP000312.1-#3	2894	5345	0	100	CP000312.306547.309440	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium;Clostridium perfringens SM101	740022	740022	t	f	f	2897393	2897393	Complete Genome	ASM1384v2	n/a	PRJNA12521	SAMN02604026	none	none	none	2006-07-26	GCA_000013845.2	none	full	none	none	none	4	0	Clostridium perfringens SM101	2620	na	0	none	none	none	none	none	2006/07/26	0	1502	0	SM101	TIGR	289380	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;x__Clostridium perfringens SM101	0	2921996	11	95	none	2921996	0	none	2659	4	2897393	10	1510	2750	0	99.536	261722	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__perfringens	1510	CP000312.1-#9	1509	2787	0	100	CP000312.233320.234832	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;Clostridium perfringens SM101	0	20	95	1
GB_GCA_000014305.1	0	97.38	0	475	o__Lactobacillales (UID544)	267	0	1810429	86.362697484	1	861786	41.1096837346	2096309	RS_GCF_000294495.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis	not type material	none	f	1	1	2096309	2096309	2096309	4	2899	CP000407.1-#2	2096309	4	108	CP000407.1-#4	2899	5354	0	100	FIPB01000001.307968.310869	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis	2096309	2096309	t	f	f	2096309	2096309	Complete Genome	ASM1430v1	n/a	PRJNA17153	SAMN02603018	none	none	none	2007-4-24	GCA_000014305.1	none	full	none	none	none	1	0	Streptococcus suis 05ZYH33	2186	na	12	none	none	none	none	none	2007/04/24	0	1307	4	05ZYH33	Beijing Institute of Genomics, Chinese Academy of Sciences,	391295	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis;x__Streptococcus suis 05ZYH33	0	2096309	11	56	none	2096309	0	none	2114	1	2096309	4	1545	2854	0	100	4434674	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1545	CP000407.1-#4	1545	2854	0	100	CP003736.323967.325518	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis S735	0	20	56	0
GB_GCA_000014325.1	0	97.87	0	475	o__Lactobacillales (UID544)	267	0	1808181	86.2806091336	1	861612	41.1133665251	2095698	RS_GCF_000294495.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis	not type material	none	f	1	1	2095698	2095698	2095698	4	2904	CP000408.1-#3	2095698	4	108	CP000408.1	2904	5363	0	100	CP000408.422558.425466	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis 98HAH33	2095698	2095698	t	f	f	2095698	2095698	Complete Genome	ASM1432v1	n/a	PRJNA17155	SAMN02603019	none	none	none	2007-4-24	GCA_000014325.1	none	full	none	none	none	1	0	Streptococcus suis 98HAH33	2189	na	12	none	none	none	none	none	2007/04/24	0	1307	4	98HAH33	Beijing Institute of Genomics, Chinese Academy of Sciences,	391296	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis;x__Streptococcus suis 98HAH33	0	2095698	11	56	none	2095698	0	none	2118	1	2095698	4	1545	2843	0	99.871	4434674	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1545	CP000408.1	1545	2843	0	99.871	CP003736.323967.325518	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis S735	0	20	56	0
GB_GCA_000015425.1	1	99.65	0.41	689	f__Moraxellaceae (UID4680)	365	0	3491586	87.2578663222	3	1557403	38.9209077896	4001457	RS_GCF_002811175.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	not type material	none	f	1	1	3976747	3976747	3976747	5	2888	CP000521.1-#5	3976747	5	111	CP000521.1-#5	2888	5334	0	100	CVLF01000115.340.3241	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii	1333819	1333819	t	f	f	3976747	3976747	Complete Genome	ASM1542v1	n/a	PRJNA17477	SAMN02604331	none	none	none	2007-3-1	GCA_000015425.1	none	full	none	none	none	3	0	Acinetobacter baumannii ATCC 17978	3803	na	15	none	none	none	none	none	2007/03/01	0	470	5	ATCC 17978	Yale University	400667	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;x__Acinetobacter calcoaceticus/baumannii complex;s__Acinetobacter baumannii;x__Acinetobacter baumannii ATCC 17978	0	4001457	11	69	none	4001457	0	none	3951	3	3976747	5	1532	2824	0	99.935	606204	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	1532	CP000521.1-#5	1532	2830	0	100	LLHT01000467.308.1851	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii	0	20	70	0
GB_GCA_000015705.1	0	100	0.14	471	p__Cyanobacteria (UID2143)	367	0	2232503	83.2192867194	1	1341541	50.007585712	2682675	RS_GCF_000011485.1	f	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_C;s__Prochlorococcus_C marinus_B	not type material	none	f	1	1	2682675	2682675	2682675	2	2873	CP000554.1-#2	2682675	2	103	CP000554.1	2873	5306	0	100	CP000554.1935024.1937898	Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcus marinus str. MIT 9303	2682675	2682675	t	f	f	2682675	2682675	Complete Genome	ASM1570v1	n/a	PRJNA13496	SAMN02603917	none	none	none	2007-1-22	GCA_000015705.1	none	full	none	none	none	1	0	Prochlorococcus marinus str. MIT 9303	2997	na	6	none	none	none	none	none	2007/01/22	0	1219	2	MIT 9303	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	59922	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__Prochlorococcus marinus	d__Bacteria;x__Terrabacteria group;x__Cyanobacteria/Melainabacteria group;p__Cyanobacteria;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__Prochlorococcus marinus;x__Prochlorococcus marinus str. MIT 9303	0	2682675	11	43	none	2682675	0	none	2742	1	2682675	2	1478	2730	0	100	4391547	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Prochlorococcus;s__	1479	CP000554.1	1478	2724	0	99.932	LVHR01000016.4083.5562	Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcus marinus str. MIT 1327	0	20	43	0
GB_GCA_000016205.1	0	100	0.89	769	g__Burkholderia (UID4006)	248	0	7190432	85.6914791558	8	5516126	65.7380524772	8391070	RS_GCF_000959445.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia vietnamiensis	not type material	none	f	2	2	3652814	3652814	1241007	6	2877	CP000616.1	1241007	6	106	CP000616.1	2877	5313	0	100	LOWG01000032.266.3160	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;Burkholderia vietnamiensis	1048883	1048883	t	f	f	2411759	2411759	Complete Genome	ASM1620v1	n/a	PRJNA10696	SAMN02598263	none	none	none	2007-3-27	GCA_000016205.1	none	full	none	none	none	8	0	Burkholderia vietnamiensis G4	7629	na	18	none	none	none	none	none	2007/03/27	0	60552	6	G4	US DOE Joint Genome Institute	269482	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia vietnamiensis	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;x__Burkholderia cepacia complex;s__Burkholderia vietnamiensis;x__Burkholderia vietnamiensis G4	0	8391070	11	67	none	8391070	0	none	7710	8	1241007	6	1528	2767	0	99.346	293763	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__	1529	CP000616.1	1526	2819	0	100	CP000614.2560255.2561780	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;Burkholderia vietnamiensis G4	0	20	67	0
