	subject	seqmethod	assembler	pipeline_x	group_x	Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage	quality	binmethod	sample	binname	pipeline_y	bin	group_y	16S_RNA	23S_RNA	5S_RNA	16S_RNA_avglen	23S_RNA_avglen	5S_RNA_avglen	suffix
0	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.1	3583	43	38	25	16	3	0	0	0	0	3838712	3803820	3392638	2793432	947362	0	0	0	0	43	372981	3838712	142464	95283	9	17	0.0	f__Moraxellaceae (UID4680)	86	689	365	0	688	1	0	0	0	100.0	0.27	0.0	60.0	0	0	2	Acinetobacter_baumannii	100.0	3.84	Acinetobacter_baumannii	1065.56115853442	complete	Metabat2	S1_mNGS_metaSPAdes	bin.1	mNGS_metaSPAdes	bin.1.fa	mNGS	0	0	1	0.0	0.0	88.0	
1	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.10	1545	13	13	10	7	2	1	0	0	0	1909097	1909097	1805027	1601979	823769	545137	0	0	0	13	545137	1909097	200759	133668	3	6	0.0	f__Bifidobacteriaceae (UID1458)	77	464	220	4	459	1	0	0	0	99.09	0.45	0.0	49.0	0	0	0	Bifidobacterium_adolescentis	100.0	1.91	Bifidobacterium_adolescentis	87.841052602356	complete	Metabat2	S1_mNGS_metaSPAdes	bin.10	mNGS_metaSPAdes	bin.10.fa	mNGS	0	0	0				
2	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.11	1505	17	15	11	6	1	0	0	0	0	1639379	1627543	1547804	1154988	386083	0	0	0	0	17	386083	1639379	154956	91421	4	7	0.0	k__Bacteria (UID209)	5443	105	59	0	105	0	0	0	0	100.0	0.0	0.0	51.0	0	0	0	Jonquetella_anthropi	100.0	1.64	Jonquetella_anthropi	520.064036443068	complete	Metabat2	S1_mNGS_metaSPAdes	bin.11	mNGS_metaSPAdes	bin.11.fa	mNGS	0	0	0				
3	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.12	1811	41	37	11	5	0	0	0	0	0	1940298	1916909	1185897	730958	0	0	0	0	0	41	191860	1940298	84368	39290	8	18	0.0	g__Streptococcus (UID561)	89	679	295	25	654	0	0	0	0	96.95	0.0	0.0	22.0	0	0	1	Streptococcus_parasanguinis	100.0	1.94	Streptococcus_parasanguinis	44.0519074904989	complete	Metabat2	S1_mNGS_metaSPAdes	bin.12	mNGS_metaSPAdes	bin.12.fa	mNGS	0	0	1	0.0	0.0	110.0	
4	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.14	2178	27	27	19	11	1	0	0	0	0	2585199	2585199	2354418	1764954	451686	0	0	0	0	27	451686	2585199	117051	74773	7	14	0.0	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.0	0.0	0.0	33.0	0	0	1	Capnocytophaga_ochracea	100.0	2.59	Capnocytophaga_ochracea	533.611202077674	complete	Metabat2	S1_mNGS_metaSPAdes	bin.14	mNGS_metaSPAdes	bin.14.fa	mNGS	0	0	1	0.0	0.0	87.0	
5	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.17	1663	13	11	11	8	2	0	0	0	0	2032100	2017239	2017239	1756538	810808	0	0	0	0	13	406684	2032100	224126	126086	3	7	0.0	f__Bifidobacteriaceae (UID1462)	65	476	217	8	468	0	0	0	0	97.24	0.0	0.0	52.0	0	0	0	Bifidobacterium_longum	100.0	2.03	Bifidobacterium_longum	387.940276561193	complete	Metabat2	S1_mNGS_metaSPAdes	bin.17	mNGS_metaSPAdes	bin.17.fa	mNGS	0	0	0				
6	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.19	4197	61	54	26	11	4	0	0	0	0	4564209	4513823	3703177	2571594	1406277	0	0	0	0	61	370002	4564209	143936	63956	9	22	0.0	f__Enterobacteriaceae (UID5139)	119	1169	340	57	1109	3	0	0	0	98.99	0.15	33.33	60.0	0	0	6	Salmonella_enterica	100.0	4.56	Salmonella_enterica	456.535966473052	complete	Metabat2	S1_mNGS_metaSPAdes	bin.19	mNGS_metaSPAdes	bin.19.fa	mNGS	0	0	1	0.0	0.0	111.0	
7	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.2	4815	45	41	28	17	7	1	0	0	0	5222486	5202603	4857120	4036777	2425848	535694	0	0	0	45	535694	5222486	216694	107272	8	16	0.0	f__Enterobacteriaceae (UID5121)	138	1162	336	2	1159	1	0	0	0	99.88	0.04	0.0	74.0	0	0	4	Klebsiella_pneumoniae	99.854	5.22	Klebsiella_pneumoniae	1472.43412237007	complete	Metabat2	S1_mNGS_metaSPAdes	bin.2	mNGS_metaSPAdes	bin.2.fa	mNGS	0	0	2	0.0	0.0	110.5	
8	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.21	1734	44	38	14	3	0	0	0	0	0	1869649	1825908	1175370	404614	0	0	0	0	0	44	154252	1869649	62117	38287	10	20	0.0	g__Staphylococcus (UID294)	60	773	178	237	536	0	0	0	0	72.47	0.0	0.0	51.0	0	0	6	Staphylococcus_epidermidis	99.64	1.87	Staphylococcus_epidermidis	751.097434331257	medium-quality	Metabat2	S1_mNGS_metaSPAdes	bin.21	mNGS_metaSPAdes	bin.21.fa	mNGS	0	0	1	0.0	0.0	110.0	
9	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.22	4544	95	88	37	8	1	0	0	0	0	4810051	4763831	3293478	1134311	257806	0	0	0	0	95	257806	4810051	74766	43889	23	44	0.0	k__Bacteria (UID203)	5449	104	58	49	55	0	0	0	0	81.19	0.0	0.0	29.0	0	0	1	Enterobacter_cloacae	100.0	4.81	Enterobacter_cloacae	67.9668546133918	medium-quality	Metabat2	S1_mNGS_metaSPAdes	bin.22	mNGS_metaSPAdes	bin.22.fa	mNGS	0	0	1	0.0	0.0	111.0	
