sample	binmethod	binname	pipeline_y	group	tRNA_x	rna.16S_x	rna.23S_x	rna.5S_x	Completeness	Contamination	quality	user_genome	classification	fastani_reference	Bin	tRNA_y	Sample	rna.16S_y	rna.23S_y	rna.5S_y	pipeline	tRNA_compare	rna.16S_compare	rna.5S_compare	rna.23S_compare	accession	checkm_completeness	checkm_contamination	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	ncbi_assembly_level	ncbi_date	ncbi_rrna_count	ncbi_trna_count
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.1	mNGS_metaSPAdes	mNGS	36.0	0	0	2	91.48	0.0	complete	A_mNGS_metaSPAdes+polish+bin.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	RS_GCF_900099625.1	GCF_900099625.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	mNGS_metaSPAdes	0.7659574468085106	0.0	0.5	0.0	RS_GCF_900099625.1	99.62	0.38	RS_GCF_900099625.1	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Scaffold	2016-10-13	8	55
A_Nanopore_OPERA-MS+polish	MetaBAT2	bin.47	Nanopore_OPERA-MS	mNGS+Nanopore	24.0	0	0	0	89.58	0.38	medium-quality	A_Nanopore_OPERA-MS+polish+bin.47	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	RS_GCF_900099625.1	GCF_900099625.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	Nanopore_OPERA-MS	0.5106382978723404	0.0	0.0	0.0	RS_GCF_900099625.1	99.62	0.38	RS_GCF_900099625.1	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Scaffold	2016-10-13	8	55
A_PacBio_OPERA-MS	MetaBAT2	bin.153	PacBio_OPERA-MS	mNGS+PacBio	36.0	0	0	2	79.73	0.0	medium-quality	A_PacBio_OPERA-MS+bin.153	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	RS_GCF_900099625.1	GCF_900099625.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	PacBio_OPERA-MS	0.7659574468085106	0.0	0.5	0.0	RS_GCF_900099625.1	99.62	0.38	RS_GCF_900099625.1	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Scaffold	2016-10-13	8	55
A_mNGS_metaSPAdes+polish	bin3C	bin0053	mNGS_metaSPAdes	mNGS	36.0	1	1	3	82.95	0.05	medium-quality	A_mNGS_metaSPAdes+polish+bin0053	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	RS_GCF_900099625.1	GCF_900099625.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	mNGS_metaSPAdes	0.7659574468085106	1.0	0.75	1.0	RS_GCF_900099625.1	99.62	0.38	RS_GCF_900099625.1	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Scaffold	2016-10-13	8	55
A_Nanopore_OPERA-MS+polish	bin3C	bin0054	Nanopore_OPERA-MS	mNGS+Nanopore	38.0	2	1	3	83.71	0.81	medium-quality	A_Nanopore_OPERA-MS+polish+bin0054	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	RS_GCF_900099625.1	GCF_900099625.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	Nanopore_OPERA-MS	0.8085106382978723	2.0	0.75	1.0	RS_GCF_900099625.1	99.62	0.38	RS_GCF_900099625.1	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Scaffold	2016-10-13	8	55
A_PacBio_OPERA-MS	bin3C	bin0059	PacBio_OPERA-MS	mNGS+PacBio	38.0	2	1	3	83.71	0.81	medium-quality	A_PacBio_OPERA-MS+bin0059	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	RS_GCF_900099625.1	GCF_900099625.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	PacBio_OPERA-MS	0.8085106382978723	2.0	0.75	1.0	RS_GCF_900099625.1	99.62	0.38	RS_GCF_900099625.1	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Scaffold	2016-10-13	8	55
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.101	mNGS_metaSPAdes	mNGS	4.0	0	0	0	68.1	1.72	medium-quality	A_mNGS_metaSPAdes+polish+bin.101	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	RS_GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes	0.0851063829787234	0.0	0.0	0.0	RS_GCF_000210575.1	97.12	0.0	RS_GCF_000210575.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Chromosome	2010-3-25	3	45
A_Nanopore_OPERA-MS+polish	MetaBAT2	bin.49	Nanopore_OPERA-MS	mNGS+Nanopore	28.0	2	2	2	75.84	0.0	medium-quality	A_Nanopore_OPERA-MS+polish+bin.49	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	RS_GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_OPERA-MS	0.5957446808510638	2.0	2.0	2.0	RS_GCF_000210575.1	97.12	0.0	RS_GCF_000210575.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Chromosome	2010-3-25	3	45
A_PacBio_OPERA-MS	MetaBAT2	bin.167	PacBio_OPERA-MS	mNGS+PacBio	14.0	0	0	0	87.24	0.48	medium-quality	A_PacBio_OPERA-MS+bin.167	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	RS_GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	PacBio_OPERA-MS	0.2978723404255319	0.0	0.0	0.0	RS_GCF_000210575.1	97.12	0.0	RS_GCF_000210575.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Chromosome	2010-3-25	3	45
A_mNGS_metaSPAdes+polish	bin3C	bin0043	mNGS_metaSPAdes	mNGS	6.0	1	1	0	74.84	1.44	medium-quality	A_mNGS_metaSPAdes+polish+bin0043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	RS_GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes	0.1276595744680851	1.0	0.0	1.0	RS_GCF_000210575.1	97.12	0.0	RS_GCF_000210575.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Chromosome	2010-3-25	3	45
A_Nanopore_metaflye+polish	bin3C	bin015	Nanopore_metaflye	Nanopore	46.0	2	2	2	85.87	0.24	medium-quality	A_Nanopore_metaflye+polish+bin015	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	RS_GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_metaflye	0.9787234042553192	2.0	2.0	2.0	RS_GCF_000210575.1	97.12	0.0	RS_GCF_000210575.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Chromosome	2010-3-25	3	45
