sample	binmethod	binname	pipeline_y	group	tRNA_x	rna.16S_x	rna.23S_x	rna.5S_x	Completeness	Contamination	quality	user_genome	classification	fastani_reference	Bin	tRNA_y	Sample	rna.16S_y	rna.23S_y	rna.5S_y	pipeline
A_mNGS_metaSPAdes+polish	Metabat2	bin.1	mNGS_metaSPAdes	mNGS	36.0	0	0	2	91.48	0.0	complete	A_mNGS_metaSPAdes+polish+bin.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_900099625.1	GCF_900099625.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.101	mNGS_metaSPAdes	mNGS	4.0	0	0	0	68.1	1.72	medium-quality	A_mNGS_metaSPAdes+polish+bin.101	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.105	mNGS_metaSPAdes	mNGS	9.0	0	0	0	53.3	1.75	medium-quality	A_mNGS_metaSPAdes+polish+bin.105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	GCF_002222595.2	GCF_002222595.2	70	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	0	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.126	mNGS_metaSPAdes	mNGS	10.0	0	0	0	62.28	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.126	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.13	mNGS_metaSPAdes	mNGS	33.0	0	0	3	100.0	0.0	complete	A_mNGS_metaSPAdes+polish+bin.13	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	GCF_000585335.1	GCF_000585335.1	49	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.141	mNGS_metaSPAdes	mNGS	26.0	0	0	0	56.14	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.141	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	GCF_000153925.1	GCF_000153925.1	50	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	8	15	9	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.15	mNGS_metaSPAdes	mNGS	24.0	0	0	2	62.85	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.15	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	GCF_003269275.1	GCF_003269275.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	6	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.164	mNGS_metaSPAdes	mNGS	17.0	0	0	1	54.3	0.41	medium-quality	A_mNGS_metaSPAdes+polish+bin.164	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_001436895.1	GCF_001436895.1	44	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	2	2	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.167	mNGS_metaSPAdes	mNGS	33.0	0	0	2	50.3	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.167	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera massiliensis	GCF_000455225.1	GCF_000455225.1	54	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	2	1	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.168	mNGS_metaSPAdes	mNGS	34.0	0	0	0	57.89	1.75	medium-quality	A_mNGS_metaSPAdes+polish+bin.168	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	GCF_000332875.2	GCF_000332875.2	37	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	1	1	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.185	mNGS_metaSPAdes	mNGS	33.0	0	0	1	90.94	0.67	complete	A_mNGS_metaSPAdes+polish+bin.185	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	GCF_003460745.1	GCF_003460745.1	43	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	4	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.187	mNGS_metaSPAdes	mNGS	23.0	0	0	0	62.66	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.187	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	GCF_003480145.1	GCF_003480145.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	2	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.188	mNGS_metaSPAdes	mNGS	39.0	0	0	0	98.39	0.0	complete	A_mNGS_metaSPAdes+polish+bin.188	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	GCF_000156175.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	4	5	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.194	mNGS_metaSPAdes	mNGS	22.0	0	0	0	84.58	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.194	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	GCA_900541315.1	GCA_900541315.1	8	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.26	mNGS_metaSPAdes	mNGS	31.0	0	0	0	97.49	0.0	complete	A_mNGS_metaSPAdes+polish+bin.26	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio fairfieldensis	GCF_001553605.1	GCF_001553605.1	56	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	3	3	3	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.42	mNGS_metaSPAdes	mNGS	29.0	0	0	1	56.04	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.42	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	GCF_003096535.1	GCF_003096535.1	56	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	6	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.5	mNGS_metaSPAdes	mNGS	37.0	0	0	2	96.77	0.0	complete	A_mNGS_metaSPAdes+polish+bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	GCF_000190535.1	GCF_000190535.1	60	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	4	4	4	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.55	mNGS_metaSPAdes	mNGS	34.0	0	0	1	88.61	0.11	medium-quality	A_mNGS_metaSPAdes+polish+bin.55	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	GCF_000205025.1	GCF_000205025.1	37	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	2	0	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.58	mNGS_metaSPAdes	mNGS	25.0	0	0	0	53.86	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis	GCF_003434055.1	GCF_003434055.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	3	0	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.65	mNGS_metaSPAdes	mNGS	38.0	0	0	2	94.62	0.54	complete	A_mNGS_metaSPAdes+polish+bin.65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas virosa	GCF_000519105.1	GCF_000519105.1	30	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	1	5	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.66	mNGS_metaSPAdes	mNGS	37.0	0	0	0	95.4	2.3	complete	A_mNGS_metaSPAdes+polish+bin.66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella massiliensis	GCF_900243045.1	GCF_900243045.1	55	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	2	0	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.67	mNGS_metaSPAdes	mNGS	2.0	0	0	1	62.23	1.72	medium-quality	A_mNGS_metaSPAdes+polish+bin.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp900546255	GCA_900546255.1	GCA_900546255.1	22	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	1	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.75	mNGS_metaSPAdes	mNGS	36.0	0	0	1	72.51	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.75	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii	GCF_000239295.1	GCF_000239295.1	36	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.77	mNGS_metaSPAdes	mNGS	32.0	0	0	2	85.23	2.93	medium-quality	A_mNGS_metaSPAdes+polish+bin.77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	GCF_001314995.1	GCF_001314995.1	71	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.78	mNGS_metaSPAdes	mNGS	47.0	0	0	0	85.3	0.24	medium-quality	A_mNGS_metaSPAdes+polish+bin.78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	GCF_000225345.1	GCF_000225345.1	58	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	4	4	4	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.8	mNGS_metaSPAdes	mNGS	40.0	0	0	0	92.41	0.79	complete	A_mNGS_metaSPAdes+polish+bin.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp000435655	GCA_000435655.1	GCA_000435655.1	22	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.80	mNGS_metaSPAdes	mNGS	39.0	0	0	2	51.72	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.80	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis	GCF_000382445.1	GCF_000382445.1	67	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	7	6	7	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.82	mNGS_metaSPAdes	mNGS	52.0	0	0	6	90.57	0.0	complete	A_mNGS_metaSPAdes+polish+bin.82	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	GCF_000752095.2	GCF_000752095.2	67	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	9	9	9	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.84	mNGS_metaSPAdes	mNGS	38.0	1	1	1	99.52	0.96	complete	A_mNGS_metaSPAdes+polish+bin.84	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Oxalobacter;s__Oxalobacter formigenes	GCF_002127965.1	GCF_002127965.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	3	2	2	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.87	mNGS_metaSPAdes	mNGS	35.0	0	0	0	70.18	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.87	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp900538475	GCA_900538475.1	GCA_900538475.1	40	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.88	mNGS_metaSPAdes	mNGS	27.0	0	0	0	68.64	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.88	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	GCF_000701705.1	GCF_000701705.1	32	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	2	2	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.96	mNGS_metaSPAdes	mNGS	21.0	0	0	0	50.84	0.63	medium-quality	A_mNGS_metaSPAdes+polish+bin.96	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A massiliensis	GCF_001487165.1	GCF_001487165.1	64	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	7	6	5	mNGS_metaSPAdes
A_mNGS_metaSPAdes+polish	Metabat2	bin.98	mNGS_metaSPAdes	mNGS	16.0	0	0	0	65.51	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000433815	GCF_005844445.1	GCF_005844445.1	45	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes
A_Nanopore_metaflye+polish	Metabat2	bin.102	Nanopore_metaflye	Nanopore	25.0	2	2	0	77.4	0.0	medium-quality	A_Nanopore_metaflye+polish+bin.102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus	GCF_002959615.1	GCF_002959615.1	58	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	0	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.105	Nanopore_metaflye	Nanopore	39.0	3	3	3	58.7	0.81	medium-quality	A_Nanopore_metaflye+polish+bin.105	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003458415	GCF_003458415.1	GCF_003458415.1	51	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	2	1	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.109	Nanopore_metaflye	Nanopore	69.0	7	7	7	100.0	0.11	complete	A_Nanopore_metaflye+polish+bin.109	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	GCF_000205025.1	GCF_000205025.1	37	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	2	0	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.11	Nanopore_metaflye	Nanopore	51.0	3	3	0	98.52	1.34	complete	A_Nanopore_metaflye+polish+bin.11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__CAG-274;s__CAG-274 sp900545305	GCA_900545305.1	GCA_900545305.1	25	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	0	0	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.116	Nanopore_metaflye	Nanopore	44.0	2	1	1	85.64	0.67	medium-quality	A_Nanopore_metaflye+polish+bin.116	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	GCF_000332875.2	GCF_000332875.2	37	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	1	1	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.117	Nanopore_metaflye	Nanopore	79.0	7	7	7	98.76	2.23	complete	A_Nanopore_metaflye+polish+bin.117	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis	GCF_000382445.1	GCF_000382445.1	67	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	7	6	7	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.3	Nanopore_metaflye	Nanopore	61.0	6	7	6	95.57	0.0	complete	A_Nanopore_metaflye+polish+bin.3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp003024715	GCF_003024715.1	GCF_003024715.1	58	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	9	2	8	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.30	Nanopore_metaflye	Nanopore	59.0	4	3	4	90.93	1.9	complete	A_Nanopore_metaflye+polish+bin.30	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.33	Nanopore_metaflye	Nanopore	67.0	7	7	7	100.0	0.8	complete	A_Nanopore_metaflye+polish+bin.33	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera massiliensis	GCF_000455225.1	GCF_000455225.1	54	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	2	2	1	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.39	Nanopore_metaflye	Nanopore	56.0	5	5	5	97.58	1.08	complete	A_Nanopore_metaflye+polish+bin.39	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas virosa	GCF_000519105.1	GCF_000519105.1	30	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	0	1	5	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.4	Nanopore_metaflye	Nanopore	20.0	1	1	0	50.68	0.48	medium-quality	A_Nanopore_metaflye+polish+bin.4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	GCF_000225345.1	GCF_000225345.1	58	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	4	4	4	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.42	Nanopore_metaflye	Nanopore	47.0	6	6	7	72.94	0.49	medium-quality	A_Nanopore_metaflye+polish+bin.42	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans_A	GCF_900683735.1	GCF_900683735.1	57	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	7	7	8	Nanopore_metaflye
A_Nanopore_metaflye+polish	Metabat2	bin.55	Nanopore_metaflye	Nanopore	78.0	9	9	9	99.37	0.63	complete	A_Nanopore_metaflye+polish+bin.55	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp000431375	GCF_003473545.1	GCF_003473545.1	53	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_metaflye
