	subject	seqmethod	assembler	pipeline_x	group_x	Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage	quality	binmethod	sample	binname	pipeline_y	bin	group_y	16S_RNA	23S_RNA	5S_RNA	16S_RNA_avglen	23S_RNA_avglen	5S_RNA_avglen	suffix
0	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.1	1896	60	50	14	2	0	0	0	0	0	1928649	1871879	1004958	204673	0	0	0	0	0	60	102599	1928649	50599	30219	14	26	0.0	o__Lactobacillales (UID543)	294	471	264	37	434	0	0	0	0	91.48	0.0	0.0	36.0	0	0	2	Lactococcus_lactis	99.859	1.93	Lactococcus_lactis	21.0572457715219	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.1	mNGS_metaSPAdes	bin.1.fa	mNGS	0.0	0.0	2.0	0.0	0.0	101.0	
1	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.101	1744	265	69	0	0	0	0	0	0	0	2134931	1055801	0	0	0	0	0	0	0	265	37508	2134931	9928	6257	71	138	0.0	k__Bacteria (UID203)	5449	104	58	59	44	1	0	0	0	68.1	1.72	0.0	4.0	0	0	0	Alistipes_shahii	96.634	2.13	Alistipes_shahii	11.0304042613087	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.101	mNGS_metaSPAdes	bin.101.fa	mNGS	0.0	0.0	0.0				
2	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.105	1805	351	32	0	0	0	0	0	0	0	1901942	471336	0	0	0	0	0	0	0	351	47681	1901942	5913	3895	98	200	0.0	k__Bacteria (UID203)	5449	103	57	59	43	1	0	0	0	53.3	1.75	0.0	9.0	0	0	0	Lachnospiraceae_(taxid	47.679	1.9	Lachnospiraceae	10.1271384721511	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.105	mNGS_metaSPAdes	bin.105.fa	mNGS	0.0	0.0	0.0				
3	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.108	1757	363	25	0	0	0	0	0	0	0	1929471	320042	0	0	0	0	0	0	0	363	17780	1929471	5608	4089	116	217	0.0	k__Bacteria (UID203)	5449	104	58	71	33	0	0	0	0	50.86	0.0	0.0		0	0	0	unclassified_(taxid	35.562	1.93	unclassified	7.17149052771459	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.108	mNGS_metaSPAdes	bin.108.fa	mNGS	0.0	0.0	0.0				
4	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.116	6282	1279	77	0	0	0	0	0	0	0	6552408	947689	0	0	0	0	0	0	0	1279	21744	6552408	5478	3892	403	757	0.0	c__Deltaproteobacteria (UID3216)	83	247	155	58	186	2	0	0	1	71.8	3.39	0.0	7.0	0	0	0	Labilithrix_luteola	32.464	6.55	Labilithrix	8.83704631945996	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.116	mNGS_metaSPAdes	bin.116.fa	mNGS	0.0	0.0	0.0				
5	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.126	1075	68	38	5	0	0	0	0	0	0	1213186	1038994	342969	0	0	0	0	0	0	68	87212	1213186	28372	13033	13	27	0.0	k__Bacteria (UID203)	5449	103	57	63	40	0	0	0	0	62.28	0.0	0.0	10.0	0	0	0	[Clostridium]_bolteae	13.665	1.21	[Clostridium]	73.9374976302067	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.126	mNGS_metaSPAdes	bin.126.fa	mNGS	0.0	0.0	0.0				
6	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.13	2709	46	42	25	8	1	0	0	0	0	3084038	3057649	2551571	1306269	258266	0	0	0	0	46	258266	3084038	87135	57214	11	21	0.0	k__Bacteria (UID209)	5443	104	58	0	104	0	0	0	0	100.0	0.0	0.0	33.0	0	0	3	Cloacibacillus_porcorum	92.329	3.08	Cloacibacillus_porcorum	30.3134928947049	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.13	mNGS_metaSPAdes	bin.13.fa	mNGS	0.0	0.0	2.0	0.0	0.0	98.5	
7	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.141	1407	37	32	11	3	0	0	0	0	0	1631802	1598945	1024345	453284	0	0	0	0	0	37	196569	1631802	66945	34628	8	16	0.0	f__Lachnospiraceae (UID1256)	33	333	171	130	203	0	0	0	0	56.14	0.0	0.0	26.0	0	0	0	[Ruminococcus]_gnavus	49.607	1.63	[Ruminococcus]	49.1293980519695	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.141	mNGS_metaSPAdes	bin.141.fa	mNGS	0.0	0.0	0.0				
8	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.15	1287	8	8	5	2	2	1	0	0	0	1343566	1343566	1250251	1014752	1014752	561831	0	0	0	8	561831	1343566	452921	452921	2	2	0.0	o__Selenomonadales (UID1024)	64	334	167	110	224	0	0	0	0	62.85	0.0	0.0	24.0	0	0	2	Phascolarctobacterium_faecium	92.126	1.34	Phascolarctobacterium_faecium	122.847598108318	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.15	mNGS_metaSPAdes	bin.15.fa	mNGS	0.0	0.0	1.0	0.0	0.0	111.0	
9	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.164	1040	164	27	0	0	0	0	0	0	0	1088859	360284	0	0	0	0	0	0	0	164	18946	1088859	7504	5199	49	93	0.0	o__Lactobacillales (UID375)	177	350	163	134	214	2	0	0	0	54.3	0.41	100.0	17.0	0	0	1	Weissella_confusa	100.0	1.09	Weissella_confusa	10.1710800020939	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.164	mNGS_metaSPAdes	bin.164.fa	mNGS	0.0	0.0	1.0	0.0	0.0	109.0	
